bat,subb,test,id,num_pvals,unique,ratio,min,max,KS,log_KS,chi2_1.0,chi2_2.0,chi2_3.0,chi2_4.0,log_chi2_1.0,log_chi2_2.0,log_chi2_3.0,log_chi2_4.0,L_9,L_8,L_7,L_6,L_5,L_4,L_3,L_2,L_1,num_pvals2,R_1,R_2,R_3,R_4,R_5,R_6,R_7,R_8,R_9,l_9,l_8,l_7,l_6,l_5,l_4,l_3,l_2,l_1,r_1,r_2,r_3,r_4,r_5,r_6,r_7,r_8,r_9,log_l_9,log_l_8,log_l_7,log_l_6,log_l_5,log_l_4,log_l_3,log_l_2,log_l_1,log_r_1,log_r_2,log_r_3,log_r_4,log_r_5,log_r_6,log_r_7,log_r_8,log_r_9
NIST,Statistical_Testing_Suite, Non-overlapping (Aperiodic) Template Matching Test Subtest 8,008|000|008,10007117,24607,407,0.0,1.0,0.741072320097562,-0.1,0.20939386877036806,1.544379045456374e-16,0.0,0.0,-0.7,-15.8,-1000,-1000,4,4,4,22,125,1078,10319,100700,999676,10007117,1001917,100021,9766,917,106,13,2,2,2,399.7,40.0,4.0,2.2,1.2,1.1,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.1,1.3,2.0,20.0,199.9,2.6,1.6,0.6,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.1,0.3,1.3,2.3
NIST,Statistical_Testing_Suite, Non-overlapping (Aperiodic) Template Matching Test Subtest 80,008|000|080,10007117,24607,407,0.0,1.0,0.2847153896156176,-0.5,0.4113070785951827,3.274685677791612e-24,0.0,0.0,-0.4,-23.5,-1000,-1000,6,6,6,19,119,1064,10350,101726,1001210,10007117,1002015,100415,10021,988,80,15,4,4,4,599.6,60.0,6.0,1.9,1.2,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.5,4.0,40.0,399.7,2.8,1.8,0.8,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.2,0.6,1.6,2.6
NIST,Statistical_Testing_Suite, Non-overlapping (Aperiodic) Template Matching Test Subtest 81,008|000|081,10007117,24606,407,0.0,1.0,0.527898307809772,-0.3,0.11879340771559346,1.2466562735896402e-13,0.0,0.0,-0.9,-12.9,-1000,-1000,8,8,8,18,121,1100,10475,101073,1001959,10007117,1001560,100299,10009,978,114,19,5,5,5,799.4,79.9,8.0,1.8,1.2,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1,1.9,5.0,50.0,499.6,2.9,1.9,0.9,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.7,1.7,2.7
NIST,Statistical_Testing_Suite, Non-overlapping (Aperiodic) Template Matching Test Subtest 82,008|000|082,10007117,24607,407,0.0,1.0,0.6826478323375775,-0.2,0.23892330234033604,7.729203709255444e-23,0.0,0.0,-0.6,-22.1,-1000,-1000,7,7,7,24,123,1113,10264,100816,999094,10007117,1001455,100013,9922,928,104,16,3,3,3,699.5,70.0,7.0,2.4,1.2,1.1,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.6,3.0,30.0,299.8,2.8,1.8,0.8,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.2,0.5,1.5,2.5
NIST,Statistical_Testing_Suite, Non-overlapping (Aperiodic) Template Matching Test Subtest 83,008|000|083,10007117,24607,407,0.0,1.0,0.6826458912458281,-0.2,0.538081200358334,6.552129587548217e-19,0.0,0.0,-0.3,-18.2,-1000,-1000,10,10,10,19,146,1107,10290,101202,1000404,10007117,1001442,100129,9996,955,100,13,5,5,5,999.3,99.9,10.0,1.9,1.5,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3,5.0,50.0,499.6,3.0,2.0,1.0,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.7,1.7,2.7
NIST,Statistical_Testing_Suite, Non-overlapping (Aperiodic) Template Matching Test Subtest 84,008|000|084,10007117,24607,407,0.0,1.0,0.31159186038134334,-0.5,0.0038897546230870694,1.247908838977157e-22,0.0,0.0,-2.4,-21.9,-1000,-1000,4,4,4,16,124,1108,10332,101093,1000999,10007117,1001269,99474,10039,1023,101,21,4,4,4,399.7,40.0,4.0,1.6,1.2,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.1,4.0,40.0,399.7,2.6,1.6,0.6,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.6,1.6,2.6
NIST,Statistical_Testing_Suite, Non-overlapping (Aperiodic) Template Matching Test Subtest 85,008|000|085,10007117,24607,407,0.0,1.0,0.10393399919384991,-1.0,0.006166950943452516,1.528257087197996e-22,0.0,0.0,-2.2,-21.8,-1000,-1000,1,1,1,13,122,1089,10334,101385,1001193,10007117,998942,99818,9905,961,97,16,5,5,5,99.9,10.0,1.0,1.3,1.2,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.6,5.0,50.0,499.6,2.0,1.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.7,1.7,2.7
NIST,Statistical_Testing_Suite, Non-overlapping (Aperiodic) Template Matching Test Subtest 86,008|000|086,10007117,24606,407,0.0,1.0,0.8755526563279498,-0.1,0.5550409648341281,3.3846598591966616e-15,0.0,0.0,-0.3,-14.5,-1000,-1000,11,11,11,20,118,1087,10434,100746,1000891,10007117,1002483,100885,10115,1098,94,16,5,5,5,1099.2,109.9,11.0,2.0,1.2,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.1,0.9,1.6,5.0,50.0,499.6,3.0,2.0,1.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.2,0.7,1.7,2.7
NIST,Statistical_Testing_Suite, Non-overlapping (Aperiodic) Template Matching Test Subtest 87,008|000|087,10007117,24606,407,0.0,1.0,0.49190730759924395,-0.3,0.31179911254601816,2.418690293762374e-25,0.0,0.0,-0.5,-24.6,-1000,-1000,11,11,11,25,126,1145,10261,101138,999390,10007117,1000331,100733,10035,1065,106,18,6,6,6,1099.2,109.9,11.0,2.5,1.3,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.1,1.1,1.8,6.0,60.0,599.6,3.0,2.0,1.0,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.8,1.8,2.8
NIST,Statistical_Testing_Suite, Non-overlapping (Aperiodic) Template Matching Test Subtest 88,008|000|088,10007117,24607,407,0.0,1.0,0.6536942915490259,-0.2,0.03474319450413176,3.1666725869186315e-14,0.0,0.0,-1.5,-13.5,-1000,-1000,9,9,9,16,110,1007,10348,100827,1000724,10007117,1001051,100238,9884,986,98,16,7,7,7,899.4,89.9,9.0,1.6,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.6,7.0,70.0,699.5,3.0,2.0,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,1.8,2.8
